param;value
mSemiMajor;6378137.0
mSemiMinor;6356752.3142
M_PI;3.141592653589793
a2;40680631590769.0
e2;0.006694380004260814
m_TwoPI;6.283185307179586
m_AE;40408299984087.055
e6;3.000067898417772e-07
m_QA;0.0044629200028405425
m_QB;2.6888834184868206e-05
m_QC;1.714324513381584e-07
m_QbarA;-1.0044899802694767
m_QbarB;0.0015057373228547642
m_QbarC;-5.4806263077765364e-06
m_QbarD;2.4490350191165485e-08
m_Qp;1.0044899802694767
m_E;510065621151362.9
area;730215205638.4752
